measurement_index,repeat,R_H_raw,R_xx_raw
40,1,-1.06825996459e-11,1.70344016849e-11
41,1,-1.07016081621e-11,1.62493821774e-11
42,1,-1.09236616773e-11,1.5671108557e-11
43,1,-1.09167658749e-11,1.47467621782e-11
44,1,-1.02776722265e-11,1.26494990829e-11
45,1,-8.47075757316e-12,9.12459486184e-12
46,1,-3.4687193657e-12,4.93607637531e-12
47,1,-3.14384089942e-12,4.40114722703e-12
48,1,-2.87711638091e-12,4.19095330712e-12
49,1,-2.67814095293e-12,4.36433593548e-12
50,1,-2.47703579923e-12,4.2035011072e-12
51,1,-1.49290512749e-12,3.25767170599e-12
52,1,-1.66295237529e-12,3.25142063133e-12
53,1,-8.60412109516e-13,2.3974293197e-12
0,2,1.46572941379e-12,3.24651509444e-12
1,2,1.81611153143e-12,3.54518337756e-12
2,2,1.80711839204e-12,3.56092687194e-12
3,2,2.21638183677e-12,3.97996972019e-12
4,2,2.77544031456e-12,4.19800423878e-12
5,2,2.97394179094e-12,4.61986874908e-12
6,2,3.29801140761e-12,4.56466926321e-12
7,2,3.19439328038e-12,4.57978589112e-12
8,2,3.52846738193e-12,4.92739393423e-12
9,2,3.74280226299e-12,5.14006711401e-12
10,2,4.07595648314e-12,5.46542183079e-12
11,2,4.53006855748e-12,6.14902335649e-12
12,2,4.86756383899e-12,6.13076212396e-12
13,2,5.0356059815e-12,6.31467014236e-12
14,2,5.08646350541e-12,6.84169517749e-12
15,2,5.39971363473e-12,6.47788795969e-12
16,2,5.4667391075e-12,6.84811134317e-12
17,2,5.76443251934e-12,6.84354445335e-12
18,2,7.64698038692e-12,8.78248606496e-12
19,2,9.31824141819e-12,1.10913543178e-11
20,2,9.64287361371e-12,1.08628206159e-11
21,2,1.0025238403e-11,1.17095589206e-11
22,2,1.05295324996e-11,1.30416294697e-11
23,2,1.07532395607e-11,1.35140631373e-11
24,2,1.08277423456e-11,1.37483703482e-11
25,2,1.07743456681e-11,1.50399697167e-11
26,2,1.02033848118e-11,1.77448759316e-11
27,2,8.82338213305e-12,1.90225140507e-11
28,2,8.09218927487e-12,1.94877786627e-11
29,2,8.07824724431e-12,1.9701190622e-11
30,2,7.70834826194e-12,1.9721160114e-11
31,2,7.76346382816e-12,2.01328441679e-11
32,2,6.68960604646e-12,2.03251408549e-11
33,2,5.67990746206e-12,2.08972950905e-11
34,2,-1.78641298954e-12,2.10109272445e-11
35,2,-2.24871140671e-12,2.10896574227e-11
36,2,-6.71537953149e-12,1.99080656875e-11
37,2,-9.68809095229e-12,1.82305455944e-11
38,2,-1.06083279564e-11,1.7280528956e-11
39,2,-1.04387306071e-11,1.72522831702e-11
40,2,-1.05795239701e-11,1.6989216863e-11
41,2,-1.08246815492e-11,1.61441653415e-11
42,2,-1.07188176203e-11,1.54312970396e-11
43,2,-1.09124235438e-11,1.45999283346e-11
44,2,-1.03185890758e-11,1.26820639916e-11
45,2,-8.54193169027e-12,9.35558163602e-12
46,2,-3.57691106876e-12,5.05493833194e-12
47,2,-3.14900880912e-12,4.42154532471e-12
48,2,-2.89858440748e-12,4.55613041432e-12
49,2,-2.7935456473e-12,4.34669693648e-12
50,2,-2.45995765087e-12,4.01426713468e-12
51,2,-1.67188997968e-12,3.34999848439e-12
52,2,-1.57949763792e-12,3.2015934247e-12
53,2,-1.02791761754e-12,2.42753368561e-12
0,3,1.51502121303e-12,2.97898902524e-12
1,3,1.78828334065e-12,3.36783728887e-12
2,3,1.95170563902e-12,3.45086147001e-12
3,3,2.21407973656e-12,3.91434165312e-12
4,3,2.79439996015e-12,4.27733740543e-12
5,3,3.14272668367e-12,4.69537694684e-12
6,3,3.23095676622e-12,4.5377977807e-12
7,3,3.34676558877e-12,4.8198262633e-12
8,3,3.46296450036e-12,4.9155306411e-12
9,3,3.64026817183e-12,5.22452587177e-12
10,3,3.91667147582e-12,5.63166536789e-12
11,3,4.73764528952e-12,6.37682489809e-12
12,3,4.95462694248e-12,6.46225398845e-12
13,3,5.04340742824e-12,6.29463810806e-12
14,3,5.13662317601e-12,6.49494870089e-12
15,3,5.50869971194e-12,6.73446010163e-12
16,3,5.40413830631e-12,6.78026938861e-12
17,3,5.89187604462e-12,6.70321974365e-12
18,3,7.60185756641e-12,8.33090529543e-12
19,3,9.3131967719e-12,1.09156775908e-11
20,3,9.47780986963e-12,1.09669192498e-11
21,3,1.00568837688e-11,1.18769619985e-11
22,3,1.05396885117e-11,1.33543857853e-11
23,3,1.06090782983e-11,1.36310127984e-11
24,3,1.07389045596e-11,1.42455066974e-11
25,3,1.09807841016e-11,1.51432799152e-11
26,3,1.01437086132e-11,1.81436272742e-11
27,3,8.82147477354e-12,1.89130252241e-11
28,3,8.18805379352e-12,1.93228219965e-11
29,3,8.04534017233e-12,1.9441992428e-11
30,3,7.81962977624e-12,2.00162991249e-11
31,3,7.83483423081e-12,1.97352143774e-11
32,3,6.68038044382e-12,2.0225275818e-11
33,3,5.62919747102e-12,2.05605822636e-11
34,3,-1.74536999733e-12,2.08589375806e-11
35,3,-2.31124633266e-12,2.12122982314e-11
36,3,-6.94190159264e-12,1.98484493599e-11
37,3,-9.75455490274e-12,1.83637000472e-11
38,3,-1.03865806603e-11,1.71675583903e-11
39,3,-1.04947149071e-11,1.731395099e-11
40,3,-1.05185585073e-11,1.67451462021e-11
41,3,-1.07965622616e-11,1.60658078243e-11
42,3,-1.09208364085e-11,1.51708167872e-11
43,3,-1.08318656959e-11,1.46405650444e-11
44,3,-1.03041012561e-11,1.26656651713e-11
45,3,-8.47916714661e-12,9.45538316067e-12
46,3,-3.40398802291e-12,5.15859955492e-12
47,3,-2.95864689941e-12,4.33426033134e-12
48,3,-2.84417863321e-12,4.38284648744e-12
49,3,-2.70167757443e-12,4.4246213555e-12
50,3,-2.25791126859e-12,4.0852514919e-12
51,3,-1.57626846365e-12,3.22462844117e-12
52,3,-1.60995644889e-12,2.85764353385e-12
53,3,-1.02255803515e-12,2.18164494157e-12
